Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","1990","1990","ha","133201","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","1990","1990","kg/ha","401","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","1990","1990","t","53420","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","1991","1991","ha","120000","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","1991","1991","kg/ha","385.1","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","1991","1991","t","46210","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","1992","1992","ha","135000","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","1992","1992","kg/ha","415","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","1992","1992","t","56030","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","1993","1993","ha","163411","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","1993","1993","kg/ha","364.6","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","1993","1993","t","59574","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5312","Area harvested","01610","Coffee, green","1994","1994","ha","120000","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01610","Coffee, green","1994","1994","kg/ha","284.6","E","Estimated value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","01610","Coffee, green","1994","1994","t","34151","A","Official figure",""
